,total_credit_limit,term,sub_grade,revol_util,interest_rate,installment,grade,emp_length,debt_to_income,balance,total_credit_utilized,accounts_opened_24m,loan_status,annual_income,loan_amount,cover,loan_purpose
0,0.02090794126698078,1.0,0.6363636363636364,0.298371532063749,0.3417869683964105,0.4220780102366373,0.6666666666666666,0.3,0.45036259064766193,0.6753965000000001,0.0411340158055124,0.1724137931034483,0.0,0.036938422888618226,0.6923076923076923,0.002924340467894475,moving
1,0.008505525933880168,0.0,0.696969696969697,0.08175033757449231,0.28482247366367536,0.0928560761366876,0.6666666666666666,1.0,0.12603150787696923,0.11628424999999999,0.004584829424397531,0.3793103448275862,0.0,0.015149699424559813,0.10256410256410256,0.009067243381793424,debt_consolidation
2,0.007144937115220934,0.0,0.5454545454545454,0.3603529098596952,0.4596176355833008,0.027594118685257345,0.5,0.3,0.5288822205551387,0.045615750000000004,0.01697691987742664,0.4482758620689655,0.0,0.015149699424559813,0.02564102564102564,0.024470343225599742,other
3,0.007501401344463759,0.0,0.9393939393939394,0.10719472364009183,0.05501365587202497,0.42999307601449965,1.0,0.1,0.25406351587896975,0.47133149999999996,0.005302104289218807,0.034482758620689655,0.0,0.01079195473174813,0.5282051282051282,0.0005812763382149421,debt_consolidation
5,0.012433425063067884,0.0,0.9393939393939394,0.050449575359593817,0.05501365587202497,0.08349511926904435,1.0,0.0,0.16154038509627405,0.10641775,0.004136002105138065,0.06896551724137931,0.0,0.012535052608872804,0.10256410256410256,0.007526933397412792,other
7,0.10110235160072226,1.0,0.7272727272727273,0.09677975025677733,0.26063207179087006,0.28105950554597664,0.8333333333333334,1.0,0.4048512128032008,0.47513475,0.06451760082168292,0.13793103448275862,0.0,0.045653912274241586,0.48717948717948717,0.0058582642476671075,debt_consolidation
8,0.08363471837553905,0.0,0.6666666666666666,0.13383992339445624,0.32305891533359343,0.44044014825474836,0.6666666666666666,1.0,0.9122280570142535,0.4539165,0.07380822022460465,0.3448275862068966,0.0,0.02604406115658902,0.48717948717948717,0.002970183026953422,home_improvement
9,0.009779582839392634,0.0,0.9393939393939394,0.29236452653003686,0.05462348809988296,0.11269804634997352,1.0,0.3,0.4728682170542636,0.15192825000000001,0.018852869523882283,0.1724137931034483,0.0,0.01079195473174813,0.13846153846153847,0.004815346029076054,credit_card
10,0.01164577792189919,1.0,0.6060606060606061,0.31635784261414013,0.3796332422941865,0.3832154445605984,0.6666666666666666,1.0,0.26131532883220804,0.60358775,0.02429291128710518,0.20689655172413793,0.0,0.0304018058494007,0.6153846153846154,0.0026492851135407904,debt_consolidation
11,0.13300841042942865,1.0,0.8181818181818182,0.06767714922896229,0.1798673429574717,0.5549778025170723,0.8333333333333334,0.2,0.04551137784446112,0.9608549999999999,0.059354495063960545,0.2413793103448276,0.0,0.03776639438025244,1.0,0.0017475619768512953,other
